iter	Passed	Remaining
875	5242	742
876	5247	735
877	5252	729
878	5258	723
879	5263	717
880	5267	711
881	5273	705
882	5278	699
883	5283	693
884	5287	687
885	5292	680
886	5296	674
887	5301	668
888	5306	662
889	5311	656
890	5315	650
891	5321	644
892	5325	638
893	5329	631
894	5334	625
895	5340	619
896	5344	613
897	5349	607
898	5355	601
899	5360	595
900	5364	589
901	5370	583
902	5374	577
903	5379	571
904	5383	565
905	5388	559
906	5393	553
907	5398	546
908	5402	540
909	5407	534
910	5412	528
911	5419	522
912	5425	516
913	5431	511
914	5437	505
915	5442	499
916	5448	493
917	5454	487
918	5460	481
919	5467	475
920	5473	469
921	5478	463
922	5484	457
923	5489	451
924	5493	445
925	5499	439
926	5504	433
927	5510	427
928	5517	421
929	5521	415
930	5526	409
931	5532	403
932	5536	397
933	5541	391
934	5548	385
935	5553	379
936	5558	373
937	5564	367
938	5570	361
939	5574	355
940	5580	349
941	5585	343
942	5589	337
943	5595	331
944	5600	325
945	5605	319
946	5611	314
947	5618	308
948	5623	302
949	5629	296
950	5634	290
951	5639	284
952	5646	278
953	5651	272
954	5656	266
955	5662	260
956	5667	254
957	5672	248
958	5677	242
959	5682	236
960	5688	230
961	5694	224
962	5702	219
963	5710	213
964	5716	207
965	5722	201
966	5728	195
967	5733	189
968	5738	183
969	5744	177
970	5750	171
971	5757	165
972	5762	159
973	5767	153
974	5774	148
975	5780	142
976	5785	136
977	5791	130
978	5796	124
979	5802	118
980	5809	112
981	5815	106
982	5822	100
983	5828	94
984	5833	88
985	5839	82
986	5845	76
987	5852	71
988	5858	65
989	5863	59
990	5869	53
991	5875	47
992	5880	41
993	5886	35
994	5891	29
995	5896	23
996	5902	17
997	5908	11
998	5913	5
999	5919	0
